CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,79511103,MERCEDES JOSEFINA TORRES GALVEZ,WALDEMAR PEREZ OXOM,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0572-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,79511103,MERCEDES JOSEFINA TORRES GALVEZ,WALDEMAR PEREZ OXOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0573-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4-32 ZONA 8,77945181,MERCEDES JOSEFINA TORRES GALVEZ,ALICIA WINTER CAAL DE ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0583-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO NUEVOS SENDEROS,"3A. CALLE 3-74, ZONA 3",79417300,MERCEDES JOSEFINA TORRES GALVEZ,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0604-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,"5A. CALLE 1-06, ZONA 3",79510413,MERCEDES JOSEFINA TORRES GALVEZ,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0609-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCORRAL,30367501,MERCEDES JOSEFINA TORRES GALVEZ,JUAN PASCUAL FRANCISCO LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO HISPANOAMERICANO,"1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12",74725125,MERCEDES JOSEFINA TORRES GALVEZ,KIMBERLY BETZADIA CA ISEM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0612-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",51609883,MERCEDES JOSEFINA TORRES GALVEZ,FELIPE CHO TUT,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0613-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",1A. CALLE 7-22 ZONA 3,77259205,MERCEDES JOSEFINA TORRES GALVEZ,MARGARITA VILLALOBOS LIGORRIA DE MENDOZA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",1A. CALLE 7-22 ZONA 3,77259205,MERCEDES JOSEFINA TORRES GALVEZ,MARGARITA VILLALOBOS LIGORRIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,44042550,MERCEDES JOSEFINA TORRES GALVEZ,ERWIN ROLANDO XOL CHUN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0651-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACIAN INTEGRAL CIUDAD DE LA ESPERANZA,6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I,77367652,MERCEDES JOSEFINA TORRES GALVEZ,BYRON ANIBAL GAMEZ GATICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0652-46,16-037,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO K AMOLB E,ALDEA NIMLAJACOC,49203582,JUVENTINA ALVARADO PEREZ,JOSE MARIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0664-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. AVENIDA 2-23 ZONA 4,79514754,MERCEDES JOSEFINA TORRES GALVEZ,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0665-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AVENIDA 2-12 ZONA 1,79545566,MERCEDES JOSEFINA TORRES GALVEZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0666-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AVENIDA 2-12 ZONA 1,79521765,MERCEDES JOSEFINA TORRES GALVEZ,HECTOR VIDAL BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0668-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A CALLE 1-98, ZONA 3",57101061,MERCEDES JOSEFINA TORRES GALVEZ,JUAN JOSA LUTHER MEJICANOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0671-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLAGICO EN INFORMATICA,2A. CALLE 12-23 ZONA 4,79521190,MERCEDES JOSEFINA TORRES GALVEZ,JORGE SALVADOR JUAREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0672-46,16-031,ALTA VERAPAZ,COBAN,ICA,11AVENIDA 1-10 ZONA 1,33509500,MERCEDES JOSEFINA TORRES GALVEZ,JESSIKA LILY SIERRA PONCE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0678-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AVENIDA CINCO GUION DOCE (5-12),48979726,MERCEDES JOSEFINA TORRES GALVEZ,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0681-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",79529830,MERCEDES JOSEFINA TORRES GALVEZ,AMERICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0690-46,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""",1A. AV. 4-24 ZONA 2,77930803,MERCEDES JOSEFINA TORRES GALVEZ,YADIRA SOMARI ALFARO OCH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0694-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AV. 5-12 ZONA 4,55564568,MERCEDES JOSEFINA TORRES GALVEZ,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0703-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,42401322,MERCEDES JOSEFINA TORRES GALVEZ,GRISELDA PATRICIA LAPEZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0708-46,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","1A, AVENIDA 4-24 ZONA 2",77256954,MERCEDES JOSEFINA TORRES GALVEZ,YADIRA SOMARI ALFARO OCH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,ALTA VERAPAZ
16-01-0710-46,16-031,ALTA VERAPAZ,COBAN,OXFORD BILINGUAL SCHOOL,2DA. CALLE 16-94 ZONA 4,79513898,MERCEDES JOSEFINA TORRES GALVEZ,DARWIN ROBERTO IGLESIAS DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,ENBI CENTRO DE EDUCACIAN EXTRAESCOLAR -CEEX-,10 AVENIDA 1-25 ZONA 3,79521302,MAXIMILIANO CHUB ICAL,ANABELA CECILIA BOL CAAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1174-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,79510413,MERCEDES JOSEFINA TORRES GALVEZ,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1175-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5TA. CALLE 1-06 ZONA 3,79520414,MERCEDES JOSEFINA TORRES GALVEZ,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-1491-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,BARRIO LA LIBERTAD ZONA 10,79511439,MERCEDES JOSEFINA TORRES GALVEZ,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-2156-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-98 ZONA 3,57101061,MERCEDES JOSEFINA TORRES GALVEZ,JUAN JOSE LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-3041-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO DE BACHILLERATO ADS. AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3AVENIDA 6-23 ZONA 11,79521468,WHOLFANG ALEXANDER PONCE SIERRA,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-8317-46,16-031,ALTA VERAPAZ,COBAN,LICEO DE COMPUTACION Y EDUCACION PARA EL HOGAR M.B.M.,3AV. 1-23 ZONA 4,79513444,MERCEDES JOSEFINA TORRES GALVEZ,MATILDE OCH CACAO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-8331-46,16-031,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DEL NORTE,3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10,79417346,MERCEDES JOSEFINA TORRES GALVEZ,ZOILA IMENA LOPEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-8335-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,12 AV. 2-12 ZONA 1,79545566,MERCEDES JOSEFINA TORRES GALVEZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-9095-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12-23 ZONA 4,79511459,MERCEDES JOSEFINA TORRES GALVEZ,CARLOS ENRIQUE MONROY SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-9102-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO MIXTO EVANGELICO NAZARENO,6A. CALLE 8-10 ZONA 10 CERRITO EL CARACOL COBAN,79511866,MERCEDES JOSEFINA TORRES GALVEZ,ESTER ELIZABETH NUILA DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-9544-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO BILINGUE DE INFANTES,3A. CALLE 7-07 ZONA 3,33836377,MERCEDES JOSEFINA TORRES GALVEZ,GIOVANY HENGSTENBERG,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-02-0020-46,16-006,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,LICEO SANTA CRUZ,"CALLE 3 DE MAYO 2-67 ZONA 2, BARRIO SANTO TOMAS",50161328,EFRAIN CAAL CUC,AUGUSTO ALEXANDER RAX RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0047-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,LICEO SAN CRISTOBAL,0 AVENIDA 1-71 ZONA 5 BARRIO SAN CRISTOBAL,79504134,OLGA MARINA BUC,SONIA MAGALY YAT DELGADO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-03-0056-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,INSTITUTO TECNOLOGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES,"2A. CALLE ZONA 4, BARRIO SAN FELIPE",79504929,OLGA MARINA BUC,RIGOBERTO HIGINIO SURAM JOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0076-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO MIXTO CIENCIAS TECNOLAGICAS,3A. CALLE 0-43 ZONA 3 BARRIO SAN SEBASTIAN,44848051,OLGA MARINA BUC,CARLOS SALVATIERRA SANTOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0077-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO MIXTO CIENCIAS TECNOLAGICAS,3A. CALLE 0-43 ZONA 3 BARRIO SAN SEBASTIAN,77923223,OLGA MARINA BUC,CARLOS SALVATIERRA SANTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0082-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO MIXTO CIENCIAS TECNOLAGICAS,"3A. CALLE 0-43 ZONA 3, BARRIO SAN SEBASTIAN",59070869,OLGA MARINA BUC,MARCO AUGUSTO JOM CAAL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0083-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO MIXTO CIENCIAS TECNOLAGICAS,"3A. CALLE 0-43 ZONA 3, BARRIO SAN SEBASTIAN",59070869,OLGA MARINA BUC,MARCO AUGUSTO JOM CAAL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0088-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,LICEO GALILEO GALILEI,"2A. CALLE, 2A. AVENIDA ZONA 3, BARRIO SAN SEBASTIAN",45160662,OLGA MARINA BUC,MARCO TULIO DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-03-0092-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA,"4Aa. AVENIDA, ENTRE O Y 1 CALLE ZONA 4, BARRIO SAN FELIPE",31479184,OLGA MARINA BUC,WENDY DALILA CHOC LAPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0093-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,"INSTITUTO TECNOLOGICO VOCACIONAL ""MARCO TULIO DE LA CRUZ MORALES""","2A. CALLE 4-45 ZONA 4, BARRIO SAN FELIPE",79504929,OLGA MARINA BUC,RIGOBERTO HIGINIO SURAM JOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-03-0095-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO MIXTO LA PUPILA DEL CIELO,"2A. AVENIDA 4-56 ZONA 2, COLONIA PANA",33801345,OLGA MARINA BUC,GLENDA YOJANNA GOMEZ SURAM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0097-46,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO MIXTO CIENCIAS TECNOLAGICAS,3A. CALLE 0-43 ZONA 3 BARRIO SAN SEBASTIAN,77923223,OLGA MARINA BUC,MAYNOR WALTR JOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-03-0104-46,16-007,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA,"4Aa. AVENIDA, ENTRE O Y 1 CALLE ZONA 4, BARRIO SAN FELIPE",79504090,ARMANDO AUDILIO POP CUCUL,DELMY DAMARIZ CHOC LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-03-0105-46,16-007,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA,"4Aa. AVENIDA, ENTRE O Y 1 CALLE ZONA 4, BARRIO SAN FELIPE",79504090,ARMANDO AUDILIO POP CUCUL,DELMY DAMARIZ CHOC LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
